"set"	"focusDB"	"silva"	"pkb"	"pkb_v13"	"pkb_v34"	"ref_gcn"	"ref_gcn_unique"	"assembly"	"source"	"target"
"denovo"	"SRR5070812_1.4006.5532 Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Alcaligenaceae;Bordetella;Bordetella pertussis"	"GCA_001985365.1..16S_rRNA::CP011189.1:3227231-3228758(-)"	0	0	0	3	1	"GCA_001985365.1"	"SRR5070812_1.4006.5532"	"GCA_001985365.1..16S_rRNA::CP011189.1:3227231-3228758(-)"
"fast"	"SRR5070682_1.4920.6446 Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Alcaligenaceae;Bordetella;Bordetella pertussis"	"GCA_001985525.1..16S_rRNA::CP011197.1:2380840-2382367(-)"	0	0	0	3	1	"GCA_001985525.1"	"SRR5070682_1.4920.6446"	"GCA_001985525.1..16S_rRNA::CP011197.1:2380840-2382367(-)"
"fast"	"SRR5070682_2.4947.6473 Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Alcaligenaceae;Bordetella;Bordetella pertussis"	"GCA_001985525.1..16S_rRNA::CP011197.1:2380840-2382367(-)"	0	0	0	3	1	"GCA_001985525.1"	"SRR5070682_2.4947.6473"	"GCA_001985525.1..16S_rRNA::CP011197.1:2380840-2382367(-)"
"fast"	"SRR5070682_3.4943.6469 Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Alcaligenaceae;Bordetella;Bordetella pertussis"	"GCA_001985525.1..16S_rRNA::CP011197.1:2380840-2382367(-)"	0	0	0	3	1	"GCA_001985525.1"	"SRR5070682_3.4943.6469"	"GCA_001985525.1..16S_rRNA::CP011197.1:2380840-2382367(-)"
"full"	"SRR5070682_1.6862.8388 Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Alcaligenaceae;Bordetella;Bordetella pertussis"	"GCA_001985525.1..16S_rRNA::CP011197.1:2380840-2382367(-)"	0	0	0	3	1	"GCA_001985525.1"	"SRR5070682_1.6862.8388"	"GCA_001985525.1..16S_rRNA::CP011197.1:2380840-2382367(-)"
"full"	"SRR5070682_2.787.2313 Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Alcaligenaceae;Bordetella;Bordetella pertussis"	"GCA_001985525.1..16S_rRNA::CP011197.1:2380840-2382367(-)"	0	0	0	3	1	"GCA_001985525.1"	"SRR5070682_2.787.2313"	"GCA_001985525.1..16S_rRNA::CP011197.1:2380840-2382367(-)"
"full"	"SRR5070682_3.16212.17738 Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Alcaligenaceae;Bordetella;Bordetella pertussis"	"GCA_001985525.1..16S_rRNA::CP011197.1:2380840-2382367(-)"	0	0	0	3	1	"GCA_001985525.1"	"SRR5070682_3.16212.17738"	"GCA_001985525.1..16S_rRNA::CP011197.1:2380840-2382367(-)"
"denovo"	"SRR5070682_1.4006.5532 Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Alcaligenaceae;Bordetella;Bordetella pertussis"	"GCA_001985525.1..16S_rRNA::CP011197.1:2380840-2382367(-)"	0	0	0	3	1	"GCA_001985525.1"	"SRR5070682_1.4006.5532"	"GCA_001985525.1..16S_rRNA::CP011197.1:2380840-2382367(-)"
"fast"	"SRR5070981_1.1199.2725 Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Alcaligenaceae;Bordetella;Bordetella pertussis"	"GCA_001985325.1..16S_rRNA::CP011187.1:2358913-2360440(-)"	0	0	0	3	1	"GCA_001985325.1"	"SRR5070981_1.1199.2725"	"GCA_001985325.1..16S_rRNA::CP011187.1:2358913-2360440(-)"
"fast"	"SRR5070981_2.4928.6454 Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Alcaligenaceae;Bordetella;Bordetella pertussis"	"GCA_001985325.1..16S_rRNA::CP011187.1:2358913-2360440(-)"	0	0	0	3	1	"GCA_001985325.1"	"SRR5070981_2.4928.6454"	"GCA_001985325.1..16S_rRNA::CP011187.1:2358913-2360440(-)"
"fast"	"SRR5070981_3.1217.2743 Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Alcaligenaceae;Bordetella;Bordetella pertussis"	"GCA_001985325.1..16S_rRNA::CP011187.1:2358913-2360440(-)"	0	0	0	3	1	"GCA_001985325.1"	"SRR5070981_3.1217.2743"	"GCA_001985325.1..16S_rRNA::CP011187.1:2358913-2360440(-)"
"full"	"SRR5070981_1.69724.71250 Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Alcaligenaceae;Bordetella;Bordetella pertussis"	"GCA_001985325.1..16S_rRNA::CP011187.1:2358913-2360440(-)"	0	0	0	3	1	"GCA_001985325.1"	"SRR5070981_1.69724.71250"	"GCA_001985325.1..16S_rRNA::CP011187.1:2358913-2360440(-)"
"full"	"SRR5070981_2.16277.17803 Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Alcaligenaceae;Bordetella;Bordetella pertussis"	"GCA_001985325.1..16S_rRNA::CP011187.1:2358913-2360440(-)"	0	0	0	3	1	"GCA_001985325.1"	"SRR5070981_2.16277.17803"	"GCA_001985325.1..16S_rRNA::CP011187.1:2358913-2360440(-)"
"full"	"SRR5070981_3.6862.8388 Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Alcaligenaceae;Bordetella;Bordetella pertussis"	"GCA_001985325.1..16S_rRNA::CP011187.1:2358913-2360440(-)"	0	0	0	3	1	"GCA_001985325.1"	"SRR5070981_3.6862.8388"	"GCA_001985325.1..16S_rRNA::CP011187.1:2358913-2360440(-)"
"denovo"	"SRR5070981_1.4006.5532 Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Alcaligenaceae;Bordetella;Bordetella pertussis"	"GCA_001985325.1..16S_rRNA::CP011187.1:2358913-2360440(-)"	0	0	0	3	1	"GCA_001985325.1"	"SRR5070981_1.4006.5532"	"GCA_001985325.1..16S_rRNA::CP011187.1:2358913-2360440(-)"
"fast"	"SRR5070836_1.1197.2723 Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Alcaligenaceae;Bordetella;Bordetella pertussis"	"GCA_001986355.1..16S_rRNA::CP011244.1:2380838-2382365(-)"	0	0	0	3	1	"GCA_001986355.1"	"SRR5070836_1.1197.2723"	"GCA_001986355.1..16S_rRNA::CP011244.1:2380838-2382365(-)"
"fast"	"SRR5070836_2.1199.2725 Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Alcaligenaceae;Bordetella;Bordetella pertussis"	"GCA_001986355.1..16S_rRNA::CP011244.1:2380838-2382365(-)"	0	0	0	3	1	"GCA_001986355.1"	"SRR5070836_2.1199.2725"	"GCA_001986355.1..16S_rRNA::CP011244.1:2380838-2382365(-)"
"fast"	"SRR5070836_3.4945.6471 Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Alcaligenaceae;Bordetella;Bordetella pertussis"	"GCA_001986355.1..16S_rRNA::CP011244.1:2380838-2382365(-)"	0	0	0	3	1	"GCA_001986355.1"	"SRR5070836_3.4945.6471"	"GCA_001986355.1..16S_rRNA::CP011244.1:2380838-2382365(-)"
"full"	"SRR5070836_1.24266.25792 Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Alcaligenaceae;Bordetella;Bordetella pertussis"	"GCA_001986355.1..16S_rRNA::CP011244.1:2380838-2382365(-)"	0	0	0	3	1	"GCA_001986355.1"	"SRR5070836_1.24266.25792"	"GCA_001986355.1..16S_rRNA::CP011244.1:2380838-2382365(-)"
"full"	"SRR5070836_2.6862.8388 Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Alcaligenaceae;Bordetella;Bordetella pertussis"	"GCA_001986355.1..16S_rRNA::CP011244.1:2380838-2382365(-)"	0	0	0	3	1	"GCA_001986355.1"	"SRR5070836_2.6862.8388"	"GCA_001986355.1..16S_rRNA::CP011244.1:2380838-2382365(-)"
"full"	"SRR5070836_3.16277.17803 Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Alcaligenaceae;Bordetella;Bordetella pertussis"	"GCA_001986355.1..16S_rRNA::CP011244.1:2380838-2382365(-)"	0	0	0	3	1	"GCA_001986355.1"	"SRR5070836_3.16277.17803"	"GCA_001986355.1..16S_rRNA::CP011244.1:2380838-2382365(-)"
"denovo"	"SRR5070836_1.4006.5532 Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Alcaligenaceae;Bordetella;Bordetella pertussis"	"GCA_001986355.1..16S_rRNA::CP011244.1:2380838-2382365(-)"	0	0	0	3	1	"GCA_001986355.1"	"SRR5070836_1.4006.5532"	"GCA_001986355.1..16S_rRNA::CP011244.1:2380838-2382365(-)"
"fast"	"SRR5070850_1.1193.2719 Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Alcaligenaceae;Bordetella;Bordetella pertussis"	"GCA_001985185.1..16S_rRNA::CP011180.1:2356827-2358354(-)"	0	0	0	3	1	"GCA_001985185.1"	"SRR5070850_1.1193.2719"	"GCA_001985185.1..16S_rRNA::CP011180.1:2356827-2358354(-)"
"fast"	"SRR5070850_2.4935.6461 Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Alcaligenaceae;Bordetella;Bordetella pertussis"	"GCA_001985185.1..16S_rRNA::CP011180.1:2356827-2358354(-)"	0	0	0	3	1	"GCA_001985185.1"	"SRR5070850_2.4935.6461"	"GCA_001985185.1..16S_rRNA::CP011180.1:2356827-2358354(-)"
"fast"	"SRR5070850_3.4947.6473 Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Alcaligenaceae;Bordetella;Bordetella pertussis"	"GCA_001985185.1..16S_rRNA::CP011180.1:2356827-2358354(-)"	0	0	0	3	1	"GCA_001985185.1"	"SRR5070850_3.4947.6473"	"GCA_001985185.1..16S_rRNA::CP011180.1:2356827-2358354(-)"
"full"	"SRR5070850_1.69724.71250 Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Alcaligenaceae;Bordetella;Bordetella pertussis"	"GCA_001985185.1..16S_rRNA::CP011180.1:2356827-2358354(-)"	0	0	0	3	1	"GCA_001985185.1"	"SRR5070850_1.69724.71250"	"GCA_001985185.1..16S_rRNA::CP011180.1:2356827-2358354(-)"
"full"	"SRR5070850_2.6862.8388 Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Alcaligenaceae;Bordetella;Bordetella pertussis"	"GCA_001985185.1..16S_rRNA::CP011180.1:2356827-2358354(-)"	0	0	0	3	1	"GCA_001985185.1"	"SRR5070850_2.6862.8388"	"GCA_001985185.1..16S_rRNA::CP011180.1:2356827-2358354(-)"
"full"	"SRR5070850_3.16283.17809 Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Alcaligenaceae;Bordetella;Bordetella pertussis"	"GCA_001985185.1..16S_rRNA::CP011180.1:2356827-2358354(-)"	0	0	0	3	1	"GCA_001985185.1"	"SRR5070850_3.16283.17809"	"GCA_001985185.1..16S_rRNA::CP011180.1:2356827-2358354(-)"
"denovo"	"SRR5070850_1.4006.5532 Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Alcaligenaceae;Bordetella;Bordetella pertussis"	"GCA_001985185.1..16S_rRNA::CP011180.1:2356827-2358354(-)"	0	0	0	3	1	"GCA_001985185.1"	"SRR5070850_1.4006.5532"	"GCA_001985185.1..16S_rRNA::CP011180.1:2356827-2358354(-)"
"fast"	"SRR5070875_1.1196.2722 Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Alcaligenaceae;Bordetella;Bordetella pertussis"	"GCA_001985665.1..16S_rRNA::CP011204.1:2415528-2417055(-)"	0	0	0	3	1	"GCA_001985665.1"	"SRR5070875_1.1196.2722"	"GCA_001985665.1..16S_rRNA::CP011204.1:2415528-2417055(-)"
"fast"	"SRR5070875_2.1196.2722 Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Alcaligenaceae;Bordetella;Bordetella pertussis"	"GCA_001985665.1..16S_rRNA::CP011204.1:2415528-2417055(-)"	0	0	0	3	1	"GCA_001985665.1"	"SRR5070875_2.1196.2722"	"GCA_001985665.1..16S_rRNA::CP011204.1:2415528-2417055(-)"
"fast"	"SRR5070875_3.1198.2724 Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Alcaligenaceae;Bordetella;Bordetella pertussis"	"GCA_001985665.1..16S_rRNA::CP011204.1:2415528-2417055(-)"	0	0	0	3	1	"GCA_001985665.1"	"SRR5070875_3.1198.2724"	"GCA_001985665.1..16S_rRNA::CP011204.1:2415528-2417055(-)"
"full"	"SRR5070875_1.24266.25792 Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Alcaligenaceae;Bordetella;Bordetella pertussis"	"GCA_001985665.1..16S_rRNA::CP011204.1:2415528-2417055(-)"	0	0	0	3	1	"GCA_001985665.1"	"SRR5070875_1.24266.25792"	"GCA_001985665.1..16S_rRNA::CP011204.1:2415528-2417055(-)"
"full"	"SRR5070875_2.6862.8388 Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Alcaligenaceae;Bordetella;Bordetella pertussis"	"GCA_001985665.1..16S_rRNA::CP011204.1:2415528-2417055(-)"	0	0	0	3	1	"GCA_001985665.1"	"SRR5070875_2.6862.8388"	"GCA_001985665.1..16S_rRNA::CP011204.1:2415528-2417055(-)"
"full"	"SRR5070875_3.16277.17803 Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Alcaligenaceae;Bordetella;Bordetella pertussis"	"GCA_001985665.1..16S_rRNA::CP011204.1:2415528-2417055(-)"	0	0	0	3	1	"GCA_001985665.1"	"SRR5070875_3.16277.17803"	"GCA_001985665.1..16S_rRNA::CP011204.1:2415528-2417055(-)"
"denovo"	"SRR5070875_1.4006.5532 Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Alcaligenaceae;Bordetella;Bordetella pertussis"	"GCA_001985665.1..16S_rRNA::CP011204.1:2415528-2417055(-)"	0	0	0	3	1	"GCA_001985665.1"	"SRR5070875_1.4006.5532"	"GCA_001985665.1..16S_rRNA::CP011204.1:2415528-2417055(-)"
"fast"	"SRR2533204_1.4014.5551 Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Escherichia;Escherichia coli"	"GCA_001021005.2..16S_rRNA::CP011343.2:3922550-3924088(+)"	3.25520833333333	9.4876660341556	0	7	4	"GCA_001021005.2"	"SRR2533204_1.4014.5551"	"GCA_001021005.2..16S_rRNA::CP011343.2:3922550-3924088(+)"
"fast"	"SRR2533204_2.1120.2657 Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Escherichia;Escherichia coli"	"GCA_001021005.2..16S_rRNA::CP011343.2:3922550-3924088(+)"	3.90117035110533	11.3421550094518	0	7	4	"GCA_001021005.2"	"SRR2533204_2.1120.2657"	"GCA_001021005.2..16S_rRNA::CP011343.2:3922550-3924088(+)"
"fast"	"SRR2533204_3.4492.6029 Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Escherichia;Escherichia coli"	"GCA_001021005.2..16S_rRNA::CP011343.2:3922550-3924088(+)"	0	0	0	7	4	"GCA_001021005.2"	"SRR2533204_3.4492.6029"	"GCA_001021005.2..16S_rRNA::CP011343.2:3922550-3924088(+)"
"fast"	"SRR2533204_4.1023.2560 Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Escherichia;Escherichia coli"	"GCA_001021005.2..16S_rRNA::CP011343.2:3922550-3924088(+)"	5.20833333333333	15.180265654649	0	7	4	"GCA_001021005.2"	"SRR2533204_4.1023.2560"	"GCA_001021005.2..16S_rRNA::CP011343.2:3922550-3924088(+)"
"fast"	"SRR2533204_5.1192.2729 Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Escherichia;Escherichia coli"	"GCA_001021005.2..16S_rRNA::CP011343.2:3922550-3924088(+)"	4.55136540962289	13.2325141776938	2.1551724137931	7	4	"GCA_001021005.2"	"SRR2533204_5.1192.2729"	"GCA_001021005.2..16S_rRNA::CP011343.2:3922550-3924088(+)"
"fast"	"SRR2533204_6.1184.2721 Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Escherichia;Escherichia coli"	"GCA_001021005.2..16S_rRNA::CP011343.2:3922550-3924088(+)"	9.09681611435997	11.3421550094518	0	7	4	"GCA_001021005.2"	"SRR2533204_6.1184.2721"	"GCA_001021005.2..16S_rRNA::CP011343.2:3922550-3924088(+)"
"fast"	"SRR2533204_7.4710.6247 Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Escherichia;Escherichia coli"	"GCA_001021005.2..16S_rRNA::CP011343.2:3922550-3924088(+)"	3.90117035110533	11.3421550094518	0	7	4	"GCA_001021005.2"	"SRR2533204_7.4710.6247"	"GCA_001021005.2..16S_rRNA::CP011343.2:3922550-3924088(+)"
"full"	"SRR2533204_1.7532.9069 Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Escherichia;Escherichia coli"	"GCA_001021005.2..16S_rRNA::CP011343.2:3922550-3924088(+)"	4.55136540962289	13.2325141776938	0	7	4	"GCA_001021005.2"	"SRR2533204_1.7532.9069"	"GCA_001021005.2..16S_rRNA::CP011343.2:3922550-3924088(+)"
"full"	"SRR2533204_2.4643.6180 Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Escherichia;Escherichia coli"	"GCA_001021005.2..16S_rRNA::CP011343.2:3922550-3924088(+)"	4.55136540962289	13.2325141776938	0	7	4	"GCA_001021005.2"	"SRR2533204_2.4643.6180"	"GCA_001021005.2..16S_rRNA::CP011343.2:3922550-3924088(+)"
"full"	"SRR2533204_3.4578.6115 Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Escherichia;Escherichia coli"	"GCA_001021005.2..16S_rRNA::CP011343.2:3922550-3924088(+)"	0	0	0	7	4	"GCA_001021005.2"	"SRR2533204_3.4578.6115"	"GCA_001021005.2..16S_rRNA::CP011343.2:3922550-3924088(+)"
"full"	"SRR2533204_4.3108.4645 Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Escherichia;Escherichia coli"	"GCA_001021005.2..16S_rRNA::CP011343.2:3922550-3924088(+)"	5.20833333333333	15.180265654649	0	7	4	"GCA_001021005.2"	"SRR2533204_4.3108.4645"	"GCA_001021005.2..16S_rRNA::CP011343.2:3922550-3924088(+)"
"full"	"SRR2533204_5.5129.6666 Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Escherichia;Escherichia coli"	"GCA_001021005.2..16S_rRNA::CP011343.2:3922550-3924088(+)"	3.90117035110533	11.3421550094518	0	7	4	"GCA_001021005.2"	"SRR2533204_5.5129.6666"	"GCA_001021005.2..16S_rRNA::CP011343.2:3922550-3924088(+)"
"full"	"SRR2533204_6.4648.6185 Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Escherichia;Escherichia coli"	"GCA_001021005.2..16S_rRNA::CP011343.2:3922550-3924088(+)"	7.15214564369311	11.3421550094518	4.31034482758621	7	4	"GCA_001021005.2"	"SRR2533204_6.4648.6185"	"GCA_001021005.2..16S_rRNA::CP011343.2:3922550-3924088(+)"
"denovo"	"SRR2533204_1.150.1687 Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Escherichia;Escherichia coli"	"GCA_001021005.2..16S_rRNA::CP011343.2:3922550-3924088(+)"	3.25097529258778	9.45179584120983	0	7	4	"GCA_001021005.2"	"SRR2533204_1.150.1687"	"GCA_001021005.2..16S_rRNA::CP011343.2:3922550-3924088(+)"
"fast"	"SRR1981233_1.1193.2692 Bacteria;Proteobacteria;Epsilonproteobacteria;Campylobacterales;Helicobacteraceae;Helicobacter;Helicobacter pylori"	"GCA_000982695.1..16S_rRNA::CP011330.1:1510929-1512429(+)"	1.33333333333333	0	0	2	1	"GCA_000982695.1"	"SRR1981233_1.1193.2692"	"GCA_000982695.1..16S_rRNA::CP011330.1:1510929-1512429(+)"
"fast"	"SRR1981233_2.36802.38301 Bacteria;Proteobacteria;Epsilonproteobacteria;Campylobacterales;Helicobacteraceae;Helicobacter;Helicobacter pylori"	"GCA_000982695.1..16S_rRNA::CP011330.1:1510929-1512429(+)"	0.66711140760507	0	0	2	1	"GCA_000982695.1"	"SRR1981233_2.36802.38301"	"GCA_000982695.1..16S_rRNA::CP011330.1:1510929-1512429(+)"
"fast"	"SRR1981235_1.36791.38290 Bacteria;Proteobacteria;Epsilonproteobacteria;Campylobacterales;Helicobacteraceae;Helicobacter;Helicobacter pylori"	"GCA_000982695.1..16S_rRNA::CP011330.1:1510929-1512429(+)"	0.66711140760507	0	0	2	1	"GCA_000982695.1"	"SRR1981235_1.36791.38290"	"GCA_000982695.1..16S_rRNA::CP011330.1:1510929-1512429(+)"
"full"	"SRR1981233_1.126548.128047 Bacteria;Proteobacteria;Epsilonproteobacteria;Campylobacterales;Helicobacteraceae;Helicobacter;Helicobacter pylori"	"GCA_000982695.1..16S_rRNA::CP011330.1:1510929-1512429(+)"	0.66711140760507	0	0	2	1	"GCA_000982695.1"	"SRR1981233_1.126548.128047"	"GCA_000982695.1..16S_rRNA::CP011330.1:1510929-1512429(+)"
"full"	"SRR1981233_2.98553.100052 Bacteria;Proteobacteria;Epsilonproteobacteria;Campylobacterales;Helicobacteraceae;Helicobacter;Helicobacter pylori"	"GCA_000982695.1..16S_rRNA::CP011330.1:1510929-1512429(+)"	1.33333333333333	0	0	2	1	"GCA_000982695.1"	"SRR1981233_2.98553.100052"	"GCA_000982695.1..16S_rRNA::CP011330.1:1510929-1512429(+)"
"full"	"SRR1981235_1.499.1998 Bacteria;Proteobacteria;Epsilonproteobacteria;Campylobacterales;Helicobacteraceae;Helicobacter;Helicobacter pylori"	"GCA_000982695.1..16S_rRNA::CP011330.1:1510929-1512429(+)"	1.33333333333333	0	0	2	1	"GCA_000982695.1"	"SRR1981235_1.499.1998"	"GCA_000982695.1..16S_rRNA::CP011330.1:1510929-1512429(+)"
"full"	"SRR1981235_2.98552.100051 Bacteria;Proteobacteria;Epsilonproteobacteria;Campylobacterales;Helicobacteraceae;Helicobacter;Helicobacter pylori"	"GCA_000982695.1..16S_rRNA::CP011330.1:1510929-1512429(+)"	1.33333333333333	0	0	2	1	"GCA_000982695.1"	"SRR1981235_2.98552.100051"	"GCA_000982695.1..16S_rRNA::CP011330.1:1510929-1512429(+)"
"denovo"	"SRR1981233_1.499.1998 Bacteria;Proteobacteria;Epsilonproteobacteria;Campylobacterales;Helicobacteraceae;Helicobacter;Helicobacter pylori"	"GCA_000982695.1..16S_rRNA::CP011330.1:1510929-1512429(+)"	1.33333333333333	0	0	2	1	"GCA_000982695.1"	"SRR1981233_1.499.1998"	"GCA_000982695.1..16S_rRNA::CP011330.1:1510929-1512429(+)"
"denovo"	"SRR1981235_1.499.1998 Bacteria;Proteobacteria;Epsilonproteobacteria;Campylobacterales;Helicobacteraceae;Helicobacter;Helicobacter pylori"	"GCA_000982695.1..16S_rRNA::CP011330.1:1510929-1512429(+)"	1.33333333333333	0	0	2	1	"GCA_000982695.1"	"SRR1981235_1.499.1998"	"GCA_000982695.1..16S_rRNA::CP011330.1:1510929-1512429(+)"
"fast"	"SRR2965616_1.1291.2828 Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Enterobacter;Enterobacter cloacae"	"GCA_001022255.1..16S_rRNA::CP011650.1:4700543-4702081(+)"	0	0	0	8	4	"GCA_001022255.1"	"SRR2965616_1.1291.2828"	"GCA_001022255.1..16S_rRNA::CP011650.1:4700543-4702081(+)"
"fast"	"SRR2965616_2.4724.6261 Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Enterobacter;Enterobacter cloacae"	"GCA_001022255.1..16S_rRNA::CP011650.1:4700543-4702081(+)"	1.30208333333333	3.79506641366224	0	8	4	"GCA_001022255.1"	"SRR2965616_2.4724.6261"	"GCA_001022255.1..16S_rRNA::CP011650.1:4700543-4702081(+)"
"fast"	"SRR2965616_3.4736.6273 Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Enterobacter;Enterobacter cloacae"	"GCA_001022255.1..16S_rRNA::CP011650.1:4700543-4702081(+)"	2.60416666666667	0	0	8	4	"GCA_001022255.1"	"SRR2965616_3.4736.6273"	"GCA_001022255.1..16S_rRNA::CP011650.1:4700543-4702081(+)"
"fast"	"SRR2965616_4.4727.6264 Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Enterobacter;Enterobacter cloacae"	"GCA_001022255.1..16S_rRNA::CP011650.1:4700543-4702081(+)"	0	0	0	8	4	"GCA_001022255.1"	"SRR2965616_4.4727.6264"	"GCA_001022255.1..16S_rRNA::CP011650.1:4700543-4702081(+)"
"fast"	"SRR2965616_5.4892.6429 Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Enterobacter;Enterobacter cloacae"	"GCA_001022255.1..16S_rRNA::CP011650.1:4700543-4702081(+)"	4.55729166666667	1.89753320683112	0	8	4	"GCA_001022255.1"	"SRR2965616_5.4892.6429"	"GCA_001022255.1..16S_rRNA::CP011650.1:4700543-4702081(+)"
"fast"	"SRR2965616_6.4897.6434 Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Enterobacter;Enterobacter cloacae"	"GCA_001022255.1..16S_rRNA::CP011650.1:4700543-4702081(+)"	0	0	0	8	4	"GCA_001022255.1"	"SRR2965616_6.4897.6434"	"GCA_001022255.1..16S_rRNA::CP011650.1:4700543-4702081(+)"
"fast"	"SRR2965616_7.4897.6434 Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Enterobacter;Enterobacter cloacae"	"GCA_001022255.1..16S_rRNA::CP011650.1:4700543-4702081(+)"	4.55729166666667	1.89753320683112	0	8	4	"GCA_001022255.1"	"SRR2965616_7.4897.6434"	"GCA_001022255.1..16S_rRNA::CP011650.1:4700543-4702081(+)"
"fast"	"SRR2965616_8.1300.2837 Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Enterobacter;Enterobacter cloacae"	"GCA_001022255.1..16S_rRNA::CP011650.1:4700543-4702081(+)"	1.30208333333333	3.79506641366224	0	8	4	"GCA_001022255.1"	"SRR2965616_8.1300.2837"	"GCA_001022255.1..16S_rRNA::CP011650.1:4700543-4702081(+)"
"full"	"SRR2965616_1.48036.49573 Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Enterobacter;Enterobacter cloacae"	"GCA_001022255.1..16S_rRNA::CP011650.1:4700543-4702081(+)"	0	0	0	8	4	"GCA_001022255.1"	"SRR2965616_1.48036.49573"	"GCA_001022255.1..16S_rRNA::CP011650.1:4700543-4702081(+)"
"full"	"SRR2965616_2.26425.27962 Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Enterobacter;Enterobacter cloacae"	"GCA_001022255.1..16S_rRNA::CP011650.1:4700543-4702081(+)"	1.30208333333333	3.79506641366224	0	8	4	"GCA_001022255.1"	"SRR2965616_2.26425.27962"	"GCA_001022255.1..16S_rRNA::CP011650.1:4700543-4702081(+)"
